user_index,pred_calorie_need,rank,food_name,food_calories
0,1858.1745199263098,1,428,838.69
0,1858.1745199263098,2,430,837.6700000000001
0,1858.1745199263098,3,365,825.35
0,1858.1745199263098,4,353,804.18
0,1858.1745199263098,5,434,797.44
1,1754.073376773429,1,428,838.69
1,1754.073376773429,2,430,837.6700000000001
1,1754.073376773429,3,365,825.35
1,1754.073376773429,4,353,804.18
1,1754.073376773429,5,434,797.44
2,1505.6687098423367,1,428,838.69
2,1505.6687098423367,2,430,837.6700000000001
2,1505.6687098423367,3,365,825.35
2,1505.6687098423367,4,353,804.18
2,1505.6687098423367,5,434,797.44
3,2346.297545742631,1,428,838.69
3,2346.297545742631,2,430,837.6700000000001
3,2346.297545742631,3,365,825.35
3,2346.297545742631,4,353,804.18
3,2346.297545742631,5,434,797.44
4,1545.780607114377,1,428,838.69
4,1545.780607114377,2,430,837.6700000000001
4,1545.780607114377,3,365,825.35
4,1545.780607114377,4,353,804.18
4,1545.780607114377,5,434,797.44
5,2176.4103971846325,1,428,838.69
5,2176.4103971846325,2,430,837.6700000000001
5,2176.4103971846325,3,365,825.35
5,2176.4103971846325,4,353,804.18
5,2176.4103971846325,5,434,797.44
6,1714.8263655967744,1,428,838.69
6,1714.8263655967744,2,430,837.6700000000001
6,1714.8263655967744,3,365,825.35
6,1714.8263655967744,4,353,804.18
6,1714.8263655967744,5,434,797.44
7,2463.032979227587,1,428,838.69
7,2463.032979227587,2,430,837.6700000000001
7,2463.032979227587,3,365,825.35
7,2463.032979227587,4,353,804.18
7,2463.032979227587,5,434,797.44
8,1542.7596164982858,1,428,838.69
8,1542.7596164982858,2,430,837.6700000000001
8,1542.7596164982858,3,365,825.35
8,1542.7596164982858,4,353,804.18
8,1542.7596164982858,5,434,797.44
9,2277.612578843521,1,428,838.69
9,2277.612578843521,2,430,837.6700000000001
9,2277.612578843521,3,365,825.35
9,2277.612578843521,4,353,804.18
9,2277.612578843521,5,434,797.44
10,2491.030242545614,1,428,838.69
10,2491.030242545614,2,430,837.6700000000001
10,2491.030242545614,3,365,825.35
10,2491.030242545614,4,353,804.18
10,2491.030242545614,5,434,797.44
11,2190.8365924372993,1,428,838.69
11,2190.8365924372993,2,430,837.6700000000001
11,2190.8365924372993,3,365,825.35
11,2190.8365924372993,4,353,804.18
11,2190.8365924372993,5,434,797.44
12,2566.004866192093,1,428,838.69
12,2566.004866192093,2,430,837.6700000000001
12,2566.004866192093,3,365,825.35
12,2566.004866192093,4,353,804.18
12,2566.004866192093,5,434,797.44
13,1937.7426755778602,1,428,838.69
13,1937.7426755778602,2,430,837.6700000000001
13,1937.7426755778602,3,365,825.35
13,1937.7426755778602,4,353,804.18
13,1937.7426755778602,5,434,797.44
14,2091.28562607318,1,428,838.69
14,2091.28562607318,2,430,837.6700000000001
14,2091.28562607318,3,365,825.35
14,2091.28562607318,4,353,804.18
14,2091.28562607318,5,434,797.44
15,2410.458258644681,1,428,838.69
